sha256	role	storage	locator	notes
14cb0754f415cf80bd44df5622e47db1adaaf6b5cf7193aaf11bad3f73262882	isp-ae899-g256-25fps-mp4	gdrive	1zCs2ZdnuzUxhfJ9hECxdA2E4Rxb5R5sK	Target MP4 capture for AE=899 gain=256 validation.
e6d90babcce07df79f0e8b25389461d545885cf6c4e5087d8d84eb1b346f572f	isp-ae899-g384-h264	gdrive	1DfgZYFp2ujsGNJew3IxN42r4tkERAh7G	Target H.264 capture for AE=899 gain=384 validation.
63a526d63d7914c7e2d6a573a5ba52f69fe118458fd6ffba8f573a3879edb509	isp-ae899-g384-25fps-mp4	gdrive	14EfQIDGK_o-AS_eQ4x8EnNaW6hgNQ9GX	Target MP4 capture for AE=899 gain=384 validation.
06a3d357599cffd4232238e9246af785c3a9947d9eb6dc646a498627f38f752a	isp-autoae5-h264	gdrive	1u_f0Bsuw6xxrgqwUjxMN6Tma-2hb2muB	Target H.264 capture for automatic-AE validation.
2e91e315eba5c4674f37fb2b5454702b05b0e12bc1fbace4092ca026e980c45a	isp-autoae5-25fps-mp4	gdrive	13C5295iVVYm2AB4EJadf-RcaPKt9iBKZ	Target MP4 capture for automatic-AE validation.
9c88095be29bbdf8a83aed99bd9aaa676cd16a26cca063603e58791bc9bb63bb	isp-day-test-log	gdrive	1CfXiVMIVwpd9bytu8netr3jCm0pDB2oc	Target ISP day-mode test log.
0441dbd3b7defe9f876edfd9397d053e6f2acb91531f8cea8f4ac908111fbe93	media-owner-binary	gdrive	1Y6LFgRREV3Rg_LBRMmvDf5xntcmY0yRY	Target-tested media-owner binary retained as implementation evidence.
23923f39cd7c9b31785a99c489bb677b38fb409b7160cd488f2457c72fa5f495	isp-day-frame-1s-png	gdrive	1Jy8Pfa8Y0G4UqhC4ZbGB_jnHtPfedLOx	Target day-mode frame capture.
9da1293b923aad6ec4e66e6e27ee0bdf1f529f51ec0672fc7c5101eef6f06464	isp-day-h264	gdrive	1c3V0Vgw5Vsw-Ra4Ll7CDsK0M8W9c6B-b	Target day-mode H.264 capture.
07c458b06860fe794380d8c212f5f0c6b8648ffd90fc6ba57caa4ee5b3f9dd7d	isp-day-mp4	gdrive	1iWxt-hupdN8s40_RH8yS9PuEl0u2IIc5	Target day-mode MP4 capture.
2b7933e29569f56ea036b3b0804c35f8d22573e716ac0641d27477b504948c2d	isp-day-25fps-mp4	gdrive	1Z32fFvkj-r1GzoFgESEox6aN36G8qa5y	Target day-mode 25-fps MP4 capture.
e2b344738d1a6f571d5b27ab04127e2b846956cc2206a3a0f6f64dfb2a64c642	isp-day-mmio-bin	gdrive	1bKGyluca4BNIK9Zu7DTIMgHT3jWAx57C	Target ISP day-state MMIO capture.
b571dce175b10dfaee00c8e4549dfa5758b5f883aafeca5931488494c920e4cf	isp-gamma-frame20-png	gdrive	1NWHFPJ1lp9QK_X0BkKZ5M7LjKAwUvUJS	Target frame capture from gamma validation.
8d7fc65efeabb979372f2f444d5022f83bc09be3f36ebf6e65575c7cabe304c8	isp-gamma-fixed-h264	gdrive	1TMcLNcv6FIgPr3fBbYDz206h0dYphy9K	Target H.264 capture after gamma correction.
80de25c99c7f0fd188f2626ebe0c949a6d1a2e373cd19a836464cfa5075d6e08	isp-gamma-fixed-25fps-mp4	gdrive	1a33dpd15EVlRuP8rKqOPOZzPEkUwdHjB	Target MP4 capture after gamma correction.
ffe1b35968f7d3115ab229560fbe4dc7084f208dcf31ed558575eea6c42d5600	isp-matrix-frame-1s-png	gdrive	13i1fUYwwUAMITaqPgnFhWyAM-0_gKkEJ	Target frame capture from matrix validation.
7aa32f3d43cfc3b04700bc30561b891f8792a787547a1286bb3ea7b60c0855dd	isp-matrix-frame-restart-1s-png	gdrive	1ejAueAgLo8jWmCy8Lh9Dz2qTpNMydliw	Target frame capture after same-boot restart.
4deadf0e68a342bf79818413b7c89430e9343b49174727e570b7d97872723d45	isp-matrix-fixed-h264	gdrive	1hrk2CGHPoQoenM58C8oVvsYss7MVTZPO	Target H.264 capture after matrix correction.
13e976d480dca26cfce7407922fa8e8458231335a85fc5e6c7e47b9c8e12bf74	isp-matrix-fixed-25fps-mp4	gdrive	18m1YEjB5GWBcdgyl0zySCOfJN3fgy8Ng	Target MP4 capture after matrix correction.
55fc29f9f4a10c2d2c774e2f7083ef7f68d5ae9c61998f6f18221a02db630c9c	isp-sameboot-restart-h264	gdrive	1zUuXMRF-D8KUmvqPMKCH7gJPuuhZlNwa	Target same-boot restart H.264 capture.
e842a29f2a5adfdc7cf61c0d7b0a026386209118a303dbc5e42620d7b89dfc73	isp-sameboot-restart-25fps-mp4	gdrive	1C15KyvYNuXHLv_1UKI4hU6YGeEMgHPMN	Target same-boot restart MP4 capture.
92a0289bb7e5774af1210458588815358192aae3c29f59e15787249724c5428d	stock-gc1054-sensor-binary	gdrive	10tFZJTUrqLAyNKA19MYEGJD570TeRQcP	Exact `sensor_gc1054_mipi.bin`; retained once as target GC1054 vendor sensor evidence.
